Reporting Range=["Monthly"],Select year=["2025"],Select month=["June"],Brand=["NEWELEVEN"]
"ASIN Title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same Day Shipping Speed","Impressions: 1D Shipping Speed","Impressions: 2D Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Cart Adds","Cart Adds: Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"NewEleven Bird Watching Gifts, Gifts For Bird Lovers - Gift For Men Women - Funny Birding Gift For Birders, Birds Watchers, Birb Lovers, Men, Women, Friends - 20 Oz Tumbler","B09S9PGL4T","Kitchen","10510",,"22.98","266","4995","3980","143","1.36","22.98","5","66","53","46","22.98","2","19","18","16","367.68","11.19",,"22.98","0","6","6","2025-06-30"
"NewEleven Gifts For Women, Her - Inspirational Gift For, Mom, Wife, Friend - Thank You, Appreciation, Graduation Present For Women, Nurse, Teacher, Boss, Coworker - 20 Oz Tumbler","B09TT1GGMM","Kitchen","1",,,"0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-06-30"
"NewEleven 20 Oz Tumbler - Farewell Gift for Coworker, BPA-Free Stainless Steel Drinking Cup, Double Wall Vacuum Insulation, Going Away Gift for Men Women, Good Luck Gifts","B09XDFF8FF","Kitchen","54496",,"19.98","2974","33438","13594","1318","2.42","19.98","69","823","307","227","19.98","19","148","39","88","1798.2","6.68",,"19.98","8","65","10","2025-06-30"
"NewEleven Retirement Gifts For Woman 2025 - Happy Retirement Gifts For Coworker Leaving - Farewell, Goodbye Presents For Women, Coworkers, Friends - 20 Oz Tumbler","B09XDFLNR8","Kitchen","10135",,"19.98","12","1624","5405","231","2.28","19.98","1","42","117","65","19.98","0","16","27","18","359.64","7.79",,"19.98","0","4","8","2025-06-30"
"NewEleven Retirement Gifts For Men Women 2025 - Retirement Party Decorations - Retired Presents For Coworker Leaving, Men, Retired People, Coworkers, Friends - 20 Oz Tumbler","B09XXP5V2W","Kitchen","89590",,"23.98","4464","54869","22763","1353","1.51","23.98","59","769","411","378","23.98","17","237","97","104","2333.86","7.69",,"19.98","5","71","22","2025-06-30"
"NewEleven Retirement Gifts For Men Women 2025 - Retirement Party Decorations - Retired Presents For Coworker Leaving, Men, Retired People, Coworkers, Friends - 20 Oz Tumbler","B09YCTFXYV","Kitchen","3479",,"21.98","35","1536","1403","28","0.8","21.98","0","12","12","4","21.98","0","1","3","1","19.98","3.57",,"19.98","0","0","1","2025-06-30"
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job Gift, Goodbye, Good Luck Presents For Coworkers, Friends, Boss, Men, Women - 20 Oz Tumbler","B09ZYBDMZ1","Kitchen","4017",,"19.98","23","1420","1802","30","0.75","19.98","0","10","10","9","19.98","0","3","3","4","79.92","13.33",,"19.98","0","2","2","2025-06-30"
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gift For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler","B09ZYCD6GX","Kitchen","32960",,"19.98","1259","19613","9036","602","1.83","19.98","26","363","159","161","19.98","8","100","36","51","1018.98","8.47",,"19.98","6","30","11","2025-06-30"
"NewEleven Retirement Gifts For Women 2025 - Happy Retirement Gift - Coworker Leaving Gift, Farewell Gifts, Goodbye Presents For Coworkers, Friends - 12 Oz Tumbler","B0B2WGL9ZW","Kitchen","2242",,"22.98","126","1289","515","13","0.58","22.98","1","8","2","3","22.98","0","1","1","1","22.98","7.69",,"22.98","0","1","0","2025-06-30"
"NewEleven Retirement Gifts For Women 2024 - Happy Retirement Gift - Coworker Leaving, Farewell, Goodbye Gifts For Coworkers, Friends - 12 Oz Tumbler","B0B9RLH8RV","Kitchen","1445",,"22.98","51","624","601","15","1.04","22.98","1","10","4","1","22.98","0","0","1","0","0.0","0.0",,,"0","0","0","2025-06-30"
"NEWELEVEN 16 Oz Coffee Glass - Mama Needs Coffee - Transparent Glass - Reusable - 16 oz - Casual - Cold Drinks - Christmas, Mother's Day, Birthday - 1 Count","B0B9SF2R4R","Kitchen","6666",,"16.99","206","3026","2420","94","1.41","16.99","4","49","30","39","16.99","2","17","17","18","262.8","19.15",,"16.99","1","10","5","2025-06-30"
"NewEleven Gifts For Aunt From Niece, Nephew - Cool Gifts For New Aunt, Auntie, Sister - Aunts Birthday Gift - Announcement, Promoted To Aunty, Best Auntie Ever - 16 Oz Coffee Glass","B0BC8SB3Y4","Kitchen","2010",,"9.99","10","477","891","19","0.95","9.99","0","4","10","12","9.99","0","2","5","5","55.93","26.32",,"9.99","0","1","4","2025-06-30"
"NewEleven Gifts For Sister - Unique Birthday Present For Sisters, Soul Sis, Big, Little Sister, Sisters In Law, Sibling, Bestie - 16 Oz Coffee Glass","B0BC8WBYW7","Kitchen","663",,"9.99","11","214","317","6","0.9","9.99","0","2","3","5","9.99","0","1","3","2","39.96","33.33",,"9.99","0","1","1","2025-06-30"
"NewEleven Gifts For Wife, Her - Wife Gifts From Husband - Gift For Her - Gift Ideas For Women, Bride To Be, Fiancee, Wifey - 16 Oz Coffee Glass","B0BDLH8KX3","Kitchen","4227",,"11.99","14","870","1944","60","1.42","11.99","0","10","31","24","11.99","0","4","12","10","119.9","16.67",,"11.99","0","2","5","2025-06-30"
"NewEleven Cute Glass Coffee Cups With Lids And Straw – Aesthetic Cups – Iced Java Cup, Tumbler – Birthday Gifts For Women, Java Lover - 16 Oz Coffee Glass","B0BHVNXNYL","Kitchen","6017",,"9.99","8","480","2449","74","1.23","9.99","0","7","32","16","9.99","0","2","4","2","29.96","2.7",,"14.98","0","0","0","2025-06-30"
"NewEleven Gifts For Mom - Present For Mom From Daughter, Son, Kids - Unique Birthday Gifts For Mother, New Mom, Mommy, Pregnancy - 16 Oz Coffee Glass","B0BHWDNYVL","Kitchen","7140",,"13.99","164","3404","2443","64","0.9","6.98","3","36","20","19","6.98","2","7","10","7","62.88","10.94",,"6.98","1","1","5","2025-06-30"
"NewEleven Mother's Day & Father's Day Gift Set - 20 Oz Mom and Dad Tumbler Set","B0BNBGN799","Kitchen","118",,"33.4","4","41","20","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-06-30"
