item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status
NewEleven Aunt Ornament Gifts from Niece, Nephew for Aunt, Auntie, Sister - Aunt Announcement, Promoted to Aunt, Best Aunt Ever Gift - Christmas Tree Decoration Ceramic Ornament		1108B0P8U5Q	DH-DI42-NMFV	9.51		2024-11-07 22:00:48 PST		y	1			11				B0DLV7X769						B0DLV7X769				AMAZON_NA	Migrated Template	Inactive
Retirement Gifts For Women 2022 - Retired Gifts For Women - Female Retirement Gifts - Coworker Leaving Gifts, Farewell Gifts, Goodbye Gift For Women, Colleagues, Coworkers, Friends - 12Oz Wine Tumbler		0629ZVE1JII	DI-F7I2-E7AK	29.59		2022-06-29 08:00:13 PDT		y	3			11				B0B2WGL9ZW						850041250236				AMAZON_NA	Migrated Template	Inactive
NewEleven 75th Birthday Gifts for Women Men - 75 Year Old Gifts for Men, Women, Mom, Dad, Wife, Husband - Retro Trucker Hat, 1974 Black White, One Size		0328B63I03T	DI-WRHA-X8J8	6.78		2024-03-28 10:16:42 PDT		y	1			11				B0CZL9FZVB						B0CZL9FZVB				AMAZON_NA	Migrated Template	Inactive
NewEleven Gifts For New Mom 2025 – Pregnancy Gifts For First Time Mom, Pregnant Mom, Expecting Mom, Mom To Be, Mommy To Be - 16 Oz Coffee Glass		0807B89Q630	DJ-P4UC-XBDY	29.98		2024-08-07 06:55:44 PDT		y	1			11				B0DCJM56W3						B0DCJM56W3				AMAZON_NA	Migrated Template	Inactive
NEWELEVEN Gifts For Dad From Daughter Son Kids - Fathers Day Gift For Dad, Father, Step Dad - Funny Birthday Gifts For Men Dad - 20 Oz Tumbler		0328BBCX7PZ	DJ-XD9G-NIPY	27.18		2024-03-28 10:27:44 PDT		y	1			11				B0CZRZTBMT						B0CZRZTBMT				AMAZON_NA	Migrated Template	Inactive
NewEleven Christmas Gifts For Her, Women - Sarcastic Gifts For Women, Friends - Funny Joke Birthday Gifts For Her, Women, Best Friend, Sister, Coworkers - 16 Oz Coffee Glass		0413B3I9FQ4	DK-QUXV-F5PA	28.77		2024-04-13 00:30:34 PDT		y	1			11				B0BYDDYBYW						B0BYDDYBYW				AMAZON_NA	Migrated Template	Inactive
NewEleven Gifts For Him, Her - Gift For Men, Women, Dad, Husband, Friend - Thank You Gifts, Appreciation Gift, Graduation Presents For Nurse, Teacher, Boss, Coworker - Greeting Card		0615FDJ56W3	DM-O5C7-TN8L	16.31		2025-06-14 21:59:11 PDT		y	1			11				B0FC6CL2XN						B0FC6CL2XN				AMAZON_NA	Migrated Template	Inactive
NewEleven Nurse Gifts For Women - Nurse Accessories for Nurses, Nursing Student, Nurse Practitioner, Registered Nurse - Nurse Gifts For Birthday, Appreciation Week, Graduation - 16 Oz Coffee Glass		0413B4PFL1C	DM-ZO4D-MA58	13.59		2024-04-13 10:56:13 PDT		y	1			11				B0CBJR253J						B0CBJR253J				AMAZON_NA	Migrated Template	Inactive
NewEleven Wedding Gifts - Mr and Mrs, Bridal Shower Decorations Card - Wedding Gifts for Couples 2025, Bride Gift for Friends - Just Married 2025 - Greeting Card		0615FDJYRH6	DP-MOZ6-JMS1	17.64		2025-06-14 22:09:22 PDT		y	1			11				B0FC6DQZCQ						B0FC6DQZCQ				AMAZON_NA	Migrated Template	Inactive
Birthday Gifts For Women - Best Friend Giftss for Women – Female Friendship Gifts, Sisters Gifts From Sister - Funny Bday Presents Unique Gifts For Her, BFF, Bestie, Soul Sister - 20 Oz Tumbler		0529AYX7BDE	DP-S6Q0-HE8C	23.2		2023-05-28 23:37:28 PDT		y	1			11				B0C3CYSR24						B0C3CYSR24				AMAZON_NA	Migrated Template	Inactive
