Reporting Range=["Monthly"],Select year=["2025"],Select month=["April"],Brand=["NEWELEVEN"]
"ASIN Title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same Day Shipping Speed","Impressions: 1D Shipping Speed","Impressions: 2D Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Cart Adds","Cart Adds: Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"NewEleven Mothers Day Gifts For Wife, Her - Wife Gifts From Husband - Gift For Her - Gift Ideas For Women, Bride To Be, Fiancee, Wifey - 16 Oz Coffee Glass","B0BDLH8KX3","Kitchen","8914",,"11.99","77","2257","4158","101","1.13","11.99","1","19","58","42","11.99","1","9","21","14","167.86","13.86",,"11.99","0","5","6","2025-04-30"
"NewEleven Cute Glass Coffee Cups With Lids And Straw – Aesthetic Cups – Iced Java Cup, Tumbler – Birthday Gifts For Women, Java Lover - 16 Oz Coffee Glass","B0BHVNXNYL","Kitchen","3444",,"14.98","39","738","1499","18","0.52","14.98","1","4","9","4","14.98","0","1","2","1","14.98","5.56",,"14.98","0","0","1","2025-04-30"
"NewEleven Mothers Day Gifts For Mom - Present For Mom From Daughter, Son, Kids - Unique Birthday Gifts For Mother, New Mom, Mommy, Pregnancy - 16 Oz Coffee Glass","B0BHWDNYVL","Kitchen","38278",,"15.98","900","18440","14200","385","1.01","15.98","11","197","127","85","15.98","0","44","32","15","265.26","3.9",,"15.98","0","3","10","2025-04-30"
"NewEleven Mother's Day & Father's Day Gift Set - 20 Oz Mom and Dad Tumbler Set","B0BNBGN799","Kitchen","110",,"28.87","7","62","27","1","0.91","28.87","0","0","1","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-04-30"
"NewEleven Gifts For Women Friendship - Funny Gifts For Friends Female - Unique Friendship Present For Her, Female, Bestie, Bff, Soul Sister, Work Bestie - 16 Oz Coffee Glass","B0BRB5SPYZ","Kitchen","5795",,"15.98","137","2539","2357","32","0.55","15.98","0","12","12","4","15.98","0","4","0","2","31.96","6.25",,"15.98","0","2","0","2025-04-30"
"NewEleven Gifts For Sister - Unique Birthday Present For Soul Sister, Big, Little Sis, Sisters In Law, Sibling, Bestie - 16 Oz Coffee Glass","B0BRB6J55H","Kitchen","2842",,"15.98","159","1527","772","19","0.67","15.98","1","10","7","3","15.98","0","2","1","2","31.96","10.53",,"15.98","0","1","1","2025-04-30"
"NewEleven Coworker Leaving Gifts - Gifts For Coworker Farewell, Going Away, Goodbye, New Job - Good Luck Presents For Friends, Boss, Women, Work Bestie – 16 Oz Coffee Glass","B0BRB6NJCT","Kitchen","60966",,"14.98","661","28236","24836","982","1.61","14.98","5","471","399","241","14.98","1","122","94","68","1046.62","6.92",,"14.98","1","44","17","2025-04-30"
"NewEleven Bridal Shower Gifts - Wedding Gifts For Bride - Bachelorette Gift, Engagement Presents For Women - Gift For Bride To Be, Fiancee, Wifey, Her - 16 Oz Coffee Glass","B0BRCCZLL8","Kitchen","32294",,"13.98","533","11917","15179","239","0.74","13.98","5","93","114","99","13.98","2","39","52","22","307.56","9.21",,"13.98","1","15","6","2025-04-30"
"NewEleven Christmas Gifts For Women Friendship - Funny Gifts For Friends Female - Unique Friendship Gift For Women, Friend, Female, Bestie, Bff, Soul Sister, Work Bestie - 16 Oz Coffee Glass","B0BRCDZRSP","Kitchen","1897",,"15.98","82","963","595","24","1.27","15.98","1","9","9","10","15.98","1","5","2","4","63.92","16.67",,"15.98","1","3","0","2025-04-30"
"NewEleven Mothers Day Gifts For Dog Lovers, Dogs Owners, Dog Moms, Fur Mama - Dog Mom Gifts For Women - Cute Funny Gift For Women, Best Friend, Girlfriend - 16 Oz Coffee Glass","B0BRCG7S9H","Kitchen","60785",,"12.98","2833","33193","19263","338","0.56","12.98","13","202","97","168","12.98","7","100","51","44","596.1","13.02",,"12.98","3","26","13","2025-04-30"
