Reporting Range=["Monthly"],Select year=["2025"],Select month=["May"],Brand=["NEWELEVEN"]
"ASIN Title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same Day Shipping Speed","Impressions: 1D Shipping Speed","Impressions: 2D Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Cart Adds","Cart Adds: Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"Neweleven Replacement Lid For 20 Oz NewEleven Tumbler - Pack of 2 lids","B0995JRMHP","Kitchen","706",,"9.98","16","331","234","16","2.27","9.98","0","7","2","11","9.98","0","5","1","9","89.82","56.25",,"9.98","0","5","1","2025-05-31"
"NewEleven Bird Watching Gifts, Gifts For Bird Lovers - Gift For Men Women - Funny Birding Gift For Birders, Birds Watchers, Birb Lovers, Men, Women, Friends - 20 Oz Tumbler","B09S9PGL4T","Kitchen","7125",,"22.98","175","3569","2485","117","1.64","9.98","3","69","30","42","9.98","2","25","10","11","173.76","9.4",,"9.98","0","7","3","2025-05-31"
"NewEleven Gifts For Women, Her - Inspirational Gift For, Mom, Wife, Friend - Thank You, Appreciation, Graduation Present For Women, Nurse, Teacher, Boss, Coworker - 20 Oz Tumbler","B09TT1GGMM","Kitchen","146",,"16.98","0","9","34","1","0.68","16.98","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-05-31"
"NewEleven 20 Oz Tumbler - Farewell Gift for Coworker, BPA-Free Stainless Steel Drinking Cup, Double Wall Vacuum Insulation, Going Away Gift for Men Women, Good Luck Gifts","B09XDFF8FF","Kitchen","34527",,"19.98","2356","20223","8637","660","1.91","19.98","51","399","157","137","19.98","11","90","23","52","1058.94","7.88",,"19.98","5","36","8","2025-05-31"
"NewEleven Retirement Gifts For Woman 2025 - Happy Retirement Gifts For Coworker Leaving - Farewell, Goodbye Presents For Women, Coworkers, Friends - 20 Oz Tumbler","B09XDFLNR8","Kitchen","8174",,"19.98","36","1901","4596","130","1.59","19.98","1","27","72","36","19.98","0","10","21","11","289.72","8.46",,"19.98","0","4","5","2025-05-31"
"NewEleven Retirement Gifts For Men Women 2025 - Retirement Party Decorations - Retired Presents For Coworker Leaving, Men, Retired People, Coworkers, Friends - 20 Oz Tumbler","B09XXP5V2W","Kitchen","158137",,"23.98","6906","94818","41385","2164","1.37","23.98","97","1267","619","661","23.98","29","414","165","171","4214.48","7.9",,"23.98","10","114","38","2025-05-31"
"NewEleven Retirement Gifts For Men Women 2025 - Retirement Party Decorations - Retired Presents For Coworker Leaving, Men, Retired People, Coworkers, Friends - 20 Oz Tumbler","B09YCTFXYV","Kitchen","5527",,"21.98","170","2767","1791","60","1.09","21.98","2","41","10","12","21.98","1","10","0","5","109.9","8.33",,"21.98","1","4","0","2025-05-31"
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job Gift, Goodbye, Good Luck Presents For Coworkers, Friends, Boss, Men, Women - 20 Oz Tumbler","B09ZYBDMZ1","Kitchen","4556",,"19.98","31","1736","2037","40","0.88","19.98","1","11","19","9","19.98","0","4","4","2","39.96","5.0",,"19.98","0","1","1","2025-05-31"
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gift For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler","B09ZYCD6GX","Kitchen","11654",,"19.98","647","7518","2502","143","1.23","19.98","11","102","24","47","19.98","5","35","5","16","359.64","11.19",,"19.98","0","13","3","2025-05-31"
"NewEleven Retirement Gifts For Women 2025 - Happy Retirement Gift - Coworker Leaving Gift, Farewell Gifts, Goodbye Presents For Coworkers, Friends - 12 Oz Tumbler","B0B2WGL9ZW","Kitchen","3286",,"22.98","54","915","1475","23","0.7","22.98","2","7","9","9","22.98","2","3","1","2","45.96","8.7",,"22.98","1","1","0","2025-05-31"
